POLE TYPE,LIGHT PRESENT,SIDE OF ROAD,ELEVATION,latitude,longitude,GeoLocation
Metal,Yes,Right,21.436,30.32328164,-91.11343113,"(30.32328164, -91.11343113)"
Metal,Yes,Right,21.62,30.32304489,-91.11398818,"(30.32304489, -91.11398818)"
Metal,Yes,Right,22.135,30.32272358,-91.11444843,"(30.32272358, -91.11444843)"
Metal,Yes,Right,22.526,30.32203448,-91.11497615,"(30.32203448, -91.11497615)"
Metal,Yes,Right,24.258,30.3221669,-91.11551988,"(30.3221669, -91.11551988)"
Metal,Yes,Right,22.26,30.32185552,-91.11307293,"(30.32185552, -91.11307293)"
Metal,Yes,Right,12.339,30.32234282,-91.11308632,"(30.32234282, -91.11308632)"
Metal,Yes,Right,22.683,30.32289342,-91.113075,"(30.32289342, -91.113075)"
Metal,Yes,Right,22.7,30.32049533,-91.11675245,"(30.32049533, -91.11675245)"
Metal,Yes,Right,22.273,30.31599614,-91.12289764,"(30.31599614, -91.12289764)"
Metal,Yes,Right,21.538,30.31640934,-91.12260721,"(30.31640934, -91.12260721)"
Metal,Yes,Right,22.119,30.317184,-91.12189085,"(30.317184, -91.12189085)"
Metal,Yes,Right,21.131,30.31774596,-91.1208563,"(30.31774596, -91.1208563)"
Metal,Yes,Right,20.957,30.318151,-91.11969855,"(30.318151, -91.11969855)"
Metal,Yes,Right,26.397,30.31832205,-91.11863307,"(30.31832205, -91.11863307)"
Metal,Yes,Right,22.07,30.31831453,-91.1173984,"(30.31831453, -91.1173984)"
Metal,Yes,Right,20.623,30.31822775,-91.11613949,"(30.31822775, -91.11613949)"
Metal,Yes,Right,18.92,30.31845849,-91.11494369,"(30.31845849, -91.11494369)"
Metal,Yes,Right,23.257,30.31611057,-91.12203384,"(30.31611057, -91.12203384)"
Metal,Yes,Right,23.516,30.3153421,-91.12217587,"(30.3153421, -91.12217587)"
Metal,Yes,Right,22.014,30.31495931,-91.12294536,"(30.31495931, -91.12294536)"
Metal,Yes,Right,25.754,30.35216926,-91.12609023,"(30.35216926, -91.12609023)"
Wood,Yes,Right,27.004,30.35142105,-91.12504041,"(30.35142105, -91.12504041)"
Metal,Yes,Right,23.195,30.35497538,-91.11772374,"(30.35497538, -91.11772374)"
Metal,Yes,Right,20.301,30.35479527,-91.11734192,"(30.35479527, -91.11734192)"
Metal,Yes,Right,22.093,30.3538989,-91.11761821,"(30.3538989, -91.11761821)"
Metal,Yes,Right,26.089,30.34999426,-91.124707,"(30.34999426, -91.124707)"
Metal,Yes,Right,25.757,30.35034589,-91.12419388,"(30.35034589, -91.12419388)"
Metal,Yes,Right,23.72,30.3498573,-91.12351702,"(30.3498573, -91.12351702)"
Metal,Yes,Right,22.421,30.34948233,-91.1240845,"(30.34948233, -91.1240845)"
Metal,Yes,Right,22.509,30.34911424,-91.12464461,"(30.34911424, -91.12464461)"
Metal,Yes,Right,22.654,30.34875866,-91.12519342,"(30.34875866, -91.12519342)"
Metal,Yes,Right,23.133,30.34841882,-91.12571641,"(30.34841882, -91.12571641)"
Metal,Yes,Right,21.404,30.36085651,-91.11846003,"(30.36085651, -91.11846003)"
Metal,Yes,Right,22.273,30.36049314,-91.11868111,"(30.36049314, -91.11868111)"
Metal,Yes,Right,24.337,30.36010251,-91.11892273,"(30.36010251, -91.11892273)"
Metal,Yes,Right,23.959,30.35976009,-91.1191731,"(30.35976009, -91.1191731)"
Metal,Yes,Right,27.565,30.36046014,-91.11756866,"(30.36046014, -91.11756866)"
Metal,Yes,Right,22.129,30.35895196,-91.11893437,"(30.35895196, -91.11893437)"
Metal,Yes,Right,26.574,30.37843432,-91.20690618,"(30.37843432, -91.20690618)"
Metal,Yes,Right,25.616,30.37900378,-91.20698799,"(30.37900378, -91.20698799)"
Metal,Yes,Right,25.262,30.37947289,-91.20743753,"(30.37947289, -91.20743753)"
Metal,Yes,Right,26.138,30.37979169,-91.20781784,"(30.37979169, -91.20781784)"
Metal,Yes,Right,24.127,30.37989143,-91.20843434,"(30.37989143, -91.20843434)"
Metal,Yes,Right,25.793,30.37946068,-91.20901688,"(30.37946068, -91.20901688)"
Metal,Yes,Right,27.27,30.37892445,-91.20964311,"(30.37892445, -91.20964311)"
Metal,Yes,Right,26.22,30.37847805,-91.20950454,"(30.37847805, -91.20950454)"
Metal,Yes,Right,29.189,30.37836181,-91.20899313,"(30.37836181, -91.20899313)"
Metal,Yes,Right,27.896,30.37828431,-91.20841049,"(30.37828431, -91.20841049)"
Metal,Yes,Right,27.68,30.3782118,-91.20784928,"(30.3782118, -91.20784928)"
Metal,Yes,Right,27.709,30.37813887,-91.20728276,"(30.37813887, -91.20728276)"
Metal,Yes,Right,29.002,30.37806797,-91.20673093,"(30.37806797, -91.20673093)"
Metal,Yes,Right,28.566,30.37791704,-91.20559794,"(30.37791704, -91.20559794)"
Metal,Yes,Right,28.198,30.37783865,-91.2050202,"(30.37783865, -91.2050202)"
Metal,Yes,Right,31.833,30.37778287,-91.2045078,"(30.37778287, -91.2045078)"
Metal,Yes,Right,29.094,30.37769644,-91.203893,"(30.37769644, -91.203893)"
Metal,Yes,Right,28.953,30.37762735,-91.20334177,"(30.37762735, -91.20334177)"
Metal,Yes,Right,28.11,30.37756027,-91.20280557,"(30.37756027, -91.20280557)"
Metal,Yes,Right,29.012,30.37749739,-91.2023174,"(30.37749739, -91.2023174)"
Metal,Unknown,Right,26.61,30.37768403,-91.19967373,"(30.37768403, -91.19967373)"
Metal,Yes,Right,28.198,30.37809415,-91.19961092,"(30.37809415, -91.19961092)"
Metal,Yes,Right,27.939,30.37874516,-91.19949947,"(30.37874516, -91.19949947)"
Metal,Yes,Right,27.768,30.37939783,-91.19939002,"(30.37939783, -91.19939002)"
Metal,Yes,Right,28.274,30.38005971,-91.19925197,"(30.38005971, -91.19925197)"
Metal,Yes,Right,28.415,30.3806978,-91.19905692,"(30.3806978, -91.19905692)"
Metal,Yes,Right,28.572,30.38130252,-91.19886293,"(30.38130252, -91.19886293)"
Metal,Yes,Right,28.782,30.38191923,-91.19867823,"(30.38191923, -91.19867823)"
Metal,Yes,Right,28.421,30.38255921,-91.19862472,"(30.38255921, -91.19862472)"
Metal,Yes,Right,30.38,30.38301743,-91.19863181,"(30.38301743, -91.19863181)"
Metal,Yes,Right,23.106,30.3480814,-91.12625257,"(30.3480814, -91.12625257)"
Metal,Yes,Right,23.628,30.34738732,-91.12730898,"(30.34738732, -91.12730898)"
Metal,Yes,Right,23.428,30.34702301,-91.12786838,"(30.34702301, -91.12786838)"
Metal,Yes,Right,22.342,30.3466877,-91.1283963,"(30.3466877, -91.1283963)"
Metal,Yes,Right,23.211,30.34771302,-91.12681485,"(30.34771302, -91.12681485)"
Metal,Yes,Right,29.356,30.34718299,-91.11924969,"(30.34718299, -91.11924969)"
Metal,Yes,Right,21.735,30.34746267,-91.11874476,"(30.34746267, -91.11874476)"
Metal,Yes,Right,24.005,30.34776604,-91.11837339,"(30.34776604, -91.11837339)"
Metal,Yes,Right,29.698,30.34869684,-91.12276245,"(30.34869684, -91.12276245)"
Metal,Yes,Right,24.891,30.34822345,-91.12236816,"(30.34822345, -91.12236816)"
Metal,Yes,Right,25.167,30.34783673,-91.12203351,"(30.34783673, -91.12203351)"
Metal,Yes,Right,26.138,30.34742872,-91.12167626,"(30.34742872, -91.12167626)"
Metal,Yes,Right,21.43,30.34753459,-91.1079359,"(30.34753459, -91.1079359)"
Metal,Yes,Right,19.924,30.34780789,-91.10865385,"(30.34780789, -91.10865385)"
Metal,Yes,Right,24.829,30.34795331,-91.1090794,"(30.34795331, -91.1090794)"
Metal,Yes,Right,21.072,30.34814543,-91.10957575,"(30.34814543, -91.10957575)"
Metal,Yes,Right,21.594,30.34849022,-91.11051386,"(30.34849022, -91.11051386)"
Metal,Yes,Right,19.117,30.34859127,-91.11160836,"(30.34859127, -91.11160836)"
Metal,Yes,Right,-3.057,30.34704654,-91.10683017,"(30.34704654, -91.10683017)"
Metal,Yes,Right,21.2,30.34720415,-91.1070345,"(30.34720415, -91.1070345)"
Metal,Unknown,Right,21.253,30.34831257,-91.11003286,"(30.34831257, -91.11003286)"
Metal,Yes,Right,24.402,30.3486188,-91.11093932,"(30.3486188, -91.11093932)"
Wood,Yes,Right,25.829,30.35603844,-91.12260313,"(30.35603844, -91.12260313)"
Metal,Yes,Right,23.628,30.35414965,-91.12058841,"(30.35414965, -91.12058841)"
Metal,Yes,Right,18.008,30.35509719,-91.12015002,"(30.35509719, -91.12015002)"
Metal,Yes,Right,21.922,30.35467462,-91.12035546,"(30.35467462, -91.12035546)"
Metal,Yes,Right,22.68,30.35384061,-91.12092764,"(30.35384061, -91.12092764)"
Metal,Yes,Right,29.543,30.35358496,-91.12085677,"(30.35358496, -91.12085677)"
Metal,Yes,Right,22.765,30.35496253,-91.11980455,"(30.35496253, -91.11980455)"
Metal,Yes,Right,21.646,30.35958599,-91.11862166,"(30.35958599, -91.11862166)"
